name,category,kcal_100,protein_100,fat_100,carbs_100,fiber_100,proposed_group,confidence,method,proposed_cooking_tags,proposed_allergens,proposed_diet_exclusions,default_scaling,reason,decision
Wołowina mielona 15% tłuszczu,Mięso i drób,254,17.0,20.0,0.0,0.0,białko_mielone,WYSOKA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_mielone; kategoria Mięso i drób,
Wołowina mielona 5% tłuszczu,Mięso i drób,137,21.0,5.0,0.0,0.0,białko_mielone,WYSOKA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_mielone; kategoria Mięso i drób,
"Cielęcina, łopatka, surowa",Mięso i drób,130,20.0,5.5,0.0,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
"Schab wieprzowy, surowy",Mięso i drób,137,21.0,5.5,0.0,0.0,białko_chude,WYSOKA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_chude; kategoria Mięso i drób,
"Karkówka wieprzowa, surowa",Mięso i drób,245,17.0,19.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Szynka wieprzowa, surowa",Mięso i drób,145,21.0,6.5,0.0,0.0,wędlina,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Wieprzowina mielona,Mięso i drób,260,17.0,21.0,0.0,0.0,białko_mielone,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_mielone; kategoria Mięso i drób,
"Żeberka wieprzowe, surowe",Mięso i drób,290,17.0,25.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Boczek wieprzowy, surowy",Mięso i drób,500,9.0,52.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Golonka, gotowana",Mięso i drób,290,19.0,24.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Jagnięcina, udziec, surowa",Mięso i drób,200,20.0,13.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Sarnina, udziec, surowa",Mięso i drób,120,22.0,3.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Królik, surowy",Mięso i drób,136,21.0,5.5,0.0,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
"Pierś z kaczki bez skóry, surowa",Mięso i drób,135,19.0,6.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Pierś z gęsi bez skóry, surowa",Mięso i drób,161,22.8,7.0,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
Szynka drobiowa (wędlina),Mięso i drób,105,17.0,3.5,1.5,0.0,wędlina,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Szynka wieprzowa gotowana (wędlina),Mięso i drób,130,18.0,6.0,1.0,0.0,wędlina,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Polędwica sopocka,Mięso i drób,105,21.0,2.0,0.5,0.0,białko_chude,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_chude; kategoria Mięso i drób,
"Boczek wędzony, plastry",Mięso i drób,400,14.0,38.0,0.5,0.0,wędlina,NISKA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób; wartości po obróbce termicznej (katalog diet liczy na surowo),
Kabanosy,Mięso i drób,400,28.0,32.0,1.0,0.0,wędlina,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Kiełbasa śląska,Mięso i drób,300,13.0,27.0,1.5,0.0,wędlina,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Parówki drobiowe,Mięso i drób,230,11.0,20.0,2.0,0.0,wędlina,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Salami,Mięso i drób,450,22.0,40.0,1.0,0.0,wędlina,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
Pasztet drobiowy,Mięso i drób,300,11.0,26.0,6.0,0.5,wędlina,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,,meat,TŁUMIONY,słowo_kluczowe: wędlina; kategoria Mięso i drób,
"Łosoś, pieczony",Ryby i owoce morza,231,25.0,14.0,0.0,0.0,ryba_tłusta,NISKA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza; wartości po obróbce termicznej (katalog diet liczy na surowo),
"Morszczuk, surowy",Ryby i owoce morza,86,17.0,1.8,0.0,0.0,białko_chude,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",ryby,fish,LINIOWY,słowo_kluczowe: białko_chude; kategoria Ryby i owoce morza,
"Pstrąg tęczowy, surowy",Ryby i owoce morza,119,20.0,3.5,0.0,0.0,ryba_tłusta,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza,
"Sandacz, surowy",Ryby i owoce morza,84,19.0,0.7,0.0,0.0,białko_chude,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",ryby,fish,LINIOWY,słowo_kluczowe: białko_chude; kategoria Ryby i owoce morza,
"Karp, surowy",Ryby i owoce morza,127,18.0,5.6,0.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie",ryby,fish,LINIOWY,kategoria: ryba_chuda,
Makrela wędzona,Ryby i owoce morza,220,21.0,15.0,0.0,0.0,ryba_tłusta,NISKA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza; wartości po obróbce termicznej (katalog diet liczy na surowo),
Śledź solony,Ryby i owoce morza,217,17.0,16.0,0.0,0.0,ryba_tłusta,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza,
"Śledź w oleju, odsączony",Ryby i owoce morza,250,16.0,20.0,0.5,0.0,ryba_tłusta,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza,
"Tuńczyk w wodzie, odsączony",Ryby i owoce morza,116,26.0,1.0,0.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie",ryby,fish,LINIOWY,kategoria: ryba_chuda,
"Tuńczyk w oleju, odsączony",Ryby i owoce morza,190,25.0,9.5,0.0,0.0,ryba_tłusta,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza,
"Panga, surowa",Ryby i owoce morza,90,15.0,3.0,0.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie",ryby,fish,LINIOWY,kategoria: ryba_chuda,
"Tilapia, surowa",Ryby i owoce morza,96,20.0,1.7,0.0,0.0,białko_chude,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",ryby,fish,LINIOWY,słowo_kluczowe: białko_chude; kategoria Ryby i owoce morza,
Węgorz wędzony,Ryby i owoce morza,320,18.0,28.0,0.0,0.0,ryba_tłusta,NISKA,SŁOWO_KLUCZOWE,na_zimno,ryby,fish,LINIOWY,słowo_kluczowe: ryba_tłusta; kategoria Ryby i owoce morza; wartości po obróbce termicznej (katalog diet liczy na surowo),
"Małże (omułki), gotowane",Ryby i owoce morza,172,24.0,4.5,7.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie","ryby,skorupiaki",fish,LINIOWY,kategoria: ryba_chuda,
"Kalmary, surowe",Ryby i owoce morza,92,16.0,1.4,3.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie","ryby,skorupiaki",fish,LINIOWY,kategoria: ryba_chuda,
"Ośmiornica, gotowana",Ryby i owoce morza,164,30.0,2.0,4.4,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie","ryby,skorupiaki",fish,LINIOWY,kategoria: ryba_chuda,
"Paluszki rybne, pieczone",Ryby i owoce morza,230,13.0,11.0,20.0,1.2,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie",ryby,fish,LINIOWY,kategoria: ryba_chuda; wartości po obróbce termicznej (katalog diet liczy na surowo),
Paluszki krabowe (surimi),Ryby i owoce morza,100,8.0,1.0,14.0,0.0,ryba_chuda,NISKA,KATEGORIA,"pieczenie,smażenie","ryby,skorupiaki",fish,LINIOWY,kategoria: ryba_chuda,
"Jajo kurze całe, surowe",Jaja,143,12.6,9.5,0.7,0.0,jajka,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
"Jajo kurze, gotowane na twardo",Jaja,155,13.0,11.0,1.1,0.0,jajka,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
Białko jaja kurzego,Jaja,52,11.0,0.2,0.7,0.0,jajka,WYSOKA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
Żółtko jaja kurzego,Jaja,322,16.0,27.0,3.6,0.0,jajka,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
Jajo przepiórcze,Jaja,158,13.0,11.0,0.4,0.0,jajka,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
Jajo kacze,Jaja,185,13.0,14.0,1.5,0.0,jajka,ŚREDNIA,SŁOWO_KLUCZOWE,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,słowo_kluczowe: jajka; kategoria Jaja,
Jajecznica z 2 jaj na maśle,Jaja,190,11.0,16.0,1.0,0.0,jajka,NISKA,KATEGORIA,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,kategoria: jajka,
"Omlet z 3 jaj, bez dodatków",Jaja,154,11.0,11.0,0.8,0.0,jajka,NISKA,KATEGORIA,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,kategoria: jajka,
Masa jajeczna pasteryzowana,Jaja,145,12.0,10.0,1.0,0.0,kasza_ryż,ŚREDNIA,SŁOWO_KLUCZOWE,gotowanie,jaja,egg,LINIOWY,słowo_kluczowe: kasza_ryż; kategoria Jaja,
"Mleko 0,5%",Nabiał,35,3.4,0.5,4.9,0.0,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
"Mleko 3,2%",Nabiał,61,3.3,3.2,4.7,0.0,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
"Mleko bez laktozy 1,5%",Nabiał,45,3.4,1.5,4.8,0.0,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,dairy,LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
Napój sojowy niesłodzony,Nabiał,33,3.3,1.8,0.6,0.5,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno","mleko,soja",dairy,LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
Napój migdałowy niesłodzony,Nabiał,14,0.5,1.1,0.3,0.3,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno","mleko,orzechy",dairy,LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
Napój ryżowy,Nabiał,47,0.3,1.0,9.2,0.2,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,dairy,LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
Jogurt naturalny 0%,Nabiał,43,4.9,0.1,5.7,0.0,nabiał_chudy,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: nabiał_chudy; kategoria Nabiał,
Jogurt typu greckiego 2%,Nabiał,73,8.0,2.0,4.0,0.0,nabiał_chudy,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: nabiał_chudy; kategoria Nabiał,
Jogurt owocowy,Nabiał,90,3.5,2.5,13.0,0.3,nabiał_chudy,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: nabiał_chudy; kategoria Nabiał,
Jogurt pitny,Nabiał,70,3.0,1.5,11.0,0.0,nabiał_chudy,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: nabiał_chudy; kategoria Nabiał,
"Maślanka 0,5%",Nabiał,40,3.4,0.5,4.7,0.0,nabiał_chudy,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: nabiał_chudy; kategoria Nabiał,
Twaróg tłusty,Nabiał,175,17.0,10.0,3.5,0.0,ser,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Serek wiejski light,Nabiał,72,12.0,1.5,3.0,0.0,ser,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Serek homogenizowany naturalny,Nabiał,135,8.0,6.0,12.0,0.0,ser,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Serek śmietankowy do smarowania,Nabiał,250,6.0,24.0,3.0,0.0,dodatek_tłuszczowy,ŚREDNIA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",TŁUMIONY,słowo_kluczowe: dodatek_tłuszczowy; kategoria Nabiał,
Ser żółty typu gouda,Nabiał,356,25.0,28.0,2.2,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser żółty typu edamski,Nabiał,320,26.0,23.0,1.5,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser typu cheddar,Nabiał,400,25.0,33.0,1.3,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser mozzarella,Nabiał,280,22.0,21.0,2.2,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Mozzarella w zalewie,Nabiał,190,18.0,12.0,1.0,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser feta,Nabiał,264,14.0,21.0,4.0,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser pleśniowy typu brie,Nabiał,334,21.0,28.0,0.5,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser typu parmezan,Nabiał,392,36.0,25.0,4.0,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser kozi twardy,Nabiał,364,22.0,30.0,2.2,0.0,ser,WYSOKA,SŁOWO_KLUCZOWE,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: ser; kategoria Nabiał,
Ser wędzony typu oscypek,Nabiał,330,24.0,25.0,1.5,0.0,nabiał_tłusty,NISKA,KATEGORIA,na_zimno,mleko,"dairy,lactose",LINIOWY,kategoria: nabiał_tłusty; wartości po obróbce termicznej (katalog diet liczy na surowo),
Ser topiony,Nabiał,290,12.0,24.0,5.0,0.0,nabiał_tłusty,NISKA,KATEGORIA,na_zimno,mleko,"dairy,lactose",LINIOWY,kategoria: nabiał_tłusty,
Śmietana 12%,Nabiał,130,2.8,12.0,3.5,0.0,dodatek_tłuszczowy,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",TŁUMIONY,słowo_kluczowe: dodatek_tłuszczowy; kategoria Nabiał,
Śmietana kremówka 30%,Nabiał,290,2.4,30.0,3.0,0.0,dodatek_tłuszczowy,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",TŁUMIONY,słowo_kluczowe: dodatek_tłuszczowy; kategoria Nabiał,
Mleko w proszku odtłuszczone,Nabiał,358,35.0,1.0,52.0,0.0,mleko,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",mleko,"dairy,lactose",LINIOWY,słowo_kluczowe: mleko; kategoria Nabiał,
Chleb pszenny jasny,Zboża i pieczywo,265,8.5,3.2,49.0,2.7,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb żytni razowy,Zboża i pieczywo,220,7.0,1.5,42.0,6.5,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb graham,Zboża i pieczywo,245,8.8,2.0,45.0,5.0,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb pełnoziarnisty pszenny,Zboża i pieczywo,250,9.0,3.5,43.0,6.0,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb orkiszowy,Zboża i pieczywo,240,9.0,2.5,44.0,5.5,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb na zakwasie żytnim,Zboża i pieczywo,230,7.5,1.2,44.0,5.8,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Chleb tostowy pszenny,Zboża i pieczywo,280,8.0,4.0,50.0,2.5,pieczywo,WYSOKA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Bułka pszenna (kajzerka),Zboża i pieczywo,270,8.5,3.0,51.0,2.5,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Bułka grahamka,Zboża i pieczywo,255,9.0,2.0,47.0,5.0,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Bagietka pszenna,Zboża i pieczywo,285,9.0,2.0,57.0,2.6,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Bułka do hamburgera,Zboża i pieczywo,290,9.0,5.0,50.0,2.3,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Rogal maślany (croissant),Zboża i pieczywo,400,8.0,21.0,45.0,2.5,pieczywo,NISKA,KATEGORIA,na_zimno,,,DYSKRETNY,kategoria: pieczywo,
Bułka słodka drożdżowa,Zboża i pieczywo,320,7.0,8.0,55.0,1.8,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Pita pszenna,Zboża i pieczywo,275,9.0,1.2,55.0,2.5,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Pieczywo chrupkie żytnie,Zboża i pieczywo,330,9.0,1.5,64.0,16.0,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Sucharki pszenne,Zboża i pieczywo,390,11.0,6.0,72.0,3.5,pieczywo,NISKA,KATEGORIA,na_zimno,gluten,gluten,DYSKRETNY,kategoria: pieczywo,
Bułka tarta,Zboża i pieczywo,380,12.0,4.0,70.0,4.0,pieczywo,ŚREDNIA,SŁOWO_KLUCZOWE,na_zimno,gluten,gluten,DYSKRETNY,słowo_kluczowe: pieczywo; kategoria Zboża i pieczywo,
Płatki owsiane górskie,Zboża i pieczywo,372,13.5,7.0,60.0,10.0,płatki,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",gluten,gluten,LINIOWY,słowo_kluczowe: płatki; kategoria Zboża i pieczywo,
Płatki owsiane błyskawiczne,Zboża i pieczywo,370,12.0,7.0,62.0,9.0,płatki,WYSOKA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",gluten,gluten,LINIOWY,słowo_kluczowe: płatki; kategoria Zboża i pieczywo,
Musli z bakaliami,Zboża i pieczywo,400,9.0,12.0,60.0,8.0,płatki,ŚREDNIA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",gluten,gluten,LINIOWY,słowo_kluczowe: płatki; kategoria Zboża i pieczywo,
Granola,Zboża i pieczywo,450,9.0,18.0,62.0,7.0,płatki,ŚREDNIA,SŁOWO_KLUCZOWE,"gotowanie,na_zimno",gluten,gluten,LINIOWY,słowo_kluczowe: płatki; kategoria Zboża i pieczywo,
Otręby owsiane,Zboża i pieczywo,375,17.0,7.0,50.0,15.0,pieczywo,NISKA,KATEGORIA,na_zimno,gluten,gluten,DYSKRETNY,kategoria: pieczywo,
Otręby pszenne,Zboża i pieczywo,216,16.0,4.3,22.0,43.0,pieczywo,NISKA,KATEGORIA,na_zimno,gluten,gluten,DYSKRETNY,kategoria: pieczywo,
